Pin Designator,Net Name
1,bank0_err_retry_exhausted[19]
2,VSS
3,bank0_err_retry_exhausted[18]
4,VSS
5,bank0_err_retry_exhausted[17]
6,VSS
7,bank0_err_retry_exhausted[16]
8,VSS
9,clk
10,VSS
11,bank0_init_en
12,VSS
13,bank0_addr[11]
14,VSS
15,bank0_addr[10]
16,VSS
17,bank0_addr[9]
18,VSS
19,bank0_addr[8]
20,VSS
21,bank0_addr[7]
22,VSS
23,bank0_addr[6]
24,VSS
25,bank0_addr[5]
26,VSS
27,bank0_addr[4]
28,VSS
29,bank0_addr[3]
30,RESERVED
31,bank0_addr[2]
32,VSS
33,RESERVED
34,VSS
35,bank0_err_retry_exhausted[27]
36,VSS
37,bank0_err_retry_exhausted[26]
38,VSS
39,bank0_err_retry_exhausted[25]
40,VSS
41,bank0_err_retry_exhausted[24]
42,VSS
43,bank0_err_retry_exhausted[23]
44,VSS
45,bank0_err_retry_exhausted[22]
46,VSS
47,bank0_err_retry_exhausted[21]
48,VSS
49,bank0_err_retry_exhausted[20]
50,VSS
51,bank0_addr[1]
52,VSS
53,bank0_addr[0]
54,VSS
55,clk_i
56,VSS
57,bank0_err_retry_exhausted[31]
58,VSS
59,bank0_err_retry_exhausted[30]
60,RESERVED
61,bank0_err_retry_exhausted[29]
62,VSS
63,bank0_err_retry_exhausted[28]
64,VSS
65,
66,VSS
67,RESERVED
68,VSS
